,year,quarter,knolx_score,studio_name
0,2014,Q1,0,Scala Studio
1,2014,Q2,0,Scala Studio
2,2014,Q3,0,Scala Studio
3,2014,Q4,0,Scala Studio
4,2015,Q2,0,Scala Studio
5,2015,Q3,0,Scala Studio
6,2015,Q4,0,Scala Studio
7,2016,Q1,0,Scala Studio
9,2016,Q2,0,Scala Studio
13,2016,Q3,0,Scala Studio
15,2016,Q4,0,Scala Studio
17,2017,Q1,0,Scala Studio
21,2017,Q2,20,Scala Studio
22,2017,Q3,20,Scala Studio
24,2017,Q4,20,Scala Studio
26,2018,Q1,20,Scala Studio
27,2018,Q2,0,Scala Studio
31,2018,Q3,80,Scala Studio
32,2018,Q4,80,Scala Studio
33,2019,Q1,0,Scala Studio
37,2019,Q2,20,Scala Studio
38,2019,Q3,0,Scala Studio
44,2019,Q4,0,Scala Studio
50,2020,Q1,20,Scala Studio
52,2020,Q2,20,Scala Studio
53,2020,Q3,20,Scala Studio
54,2020,Q4,20,Scala Studio
55,2021,Q1,80,Scala Studio
56,2021,Q2,40,Scala Studio
58,2021,Q3,20,Scala Studio
63,2021,Q4,20,Scala Studio
68,2022,Q1,60,Scala Studio
69,2015,Q2,0,Java Studio
70,2015,Q3,0,Java Studio
71,2015,Q4,0,Java Studio
72,2016,Q1,0,Java Studio
73,2016,Q2,0,Java Studio
74,2016,Q3,0,Java Studio
75,2016,Q4,0,Java Studio
76,2017,Q1,0,Java Studio
77,2017,Q3,0,Java Studio
78,2017,Q4,0,Java Studio
79,2018,Q2,0,Java Studio
80,2018,Q3,0,Java Studio
81,2018,Q4,0,Java Studio
82,2019,Q1,40,Java Studio
83,2019,Q2,0,Java Studio
84,2019,Q3,0,Java Studio
85,2019,Q4,0,Java Studio
86,2020,Q1,20,Java Studio
88,2020,Q2,20,Java Studio
90,2020,Q3,20,Java Studio
91,2020,Q4,20,Java Studio
92,2021,Q1,20,Java Studio
93,2021,Q2,20,Java Studio
96,2021,Q3,20,Java Studio
98,2021,Q4,20,Java Studio
100,2022,Q1,40,Java Studio
101,2016,Q1,0,Testing Automation Studio
102,2017,Q1,20,Testing Automation Studio
103,2018,Q1,40,Testing Automation Studio
104,2018,Q2,20,Testing Automation Studio
105,2018,Q3,20,Testing Automation Studio
106,2018,Q4,20,Testing Automation Studio
107,2019,Q2,20,Testing Automation Studio
108,2019,Q3,20,Testing Automation Studio
109,2019,Q4,20,Testing Automation Studio
110,2020,Q1,20,Testing Automation Studio
