,year,quarter,oscontribution_score,studio_name
0,2014,Q1,0,Scala Studio
1,2014,Q2,0,Scala Studio
2,2014,Q3,0,Scala Studio
3,2014,Q4,0,Scala Studio
4,2015,Q2,0,Scala Studio
5,2015,Q3,0,Scala Studio
6,2015,Q4,0,Scala Studio
7,2016,Q1,0,Scala Studio
9,2016,Q2,0,Scala Studio
13,2016,Q3,0,Scala Studio
15,2016,Q4,0,Scala Studio
17,2017,Q1,0,Scala Studio
21,2017,Q2,0,Scala Studio
25,2017,Q3,0,Scala Studio
30,2017,Q4,0,Scala Studio
35,2018,Q1,0,Scala Studio
39,2018,Q2,0,Scala Studio
43,2018,Q3,0,Scala Studio
45,2018,Q4,0,Scala Studio
47,2019,Q1,0,Scala Studio
51,2019,Q2,0,Scala Studio
56,2019,Q3,0,Scala Studio
62,2019,Q4,0,Scala Studio
68,2020,Q1,0,Scala Studio
76,2020,Q2,60,Scala Studio
77,2020,Q3,90,Scala Studio
78,2020,Q4,90,Scala Studio
79,2021,Q1,0,Scala Studio
84,2021,Q2,60,Scala Studio
85,2021,Q3,30,Scala Studio
86,2021,Q4,30,Scala Studio
87,2022,Q1,540,Scala Studio
88,2015,Q2,0,Java Studio
89,2015,Q3,0,Java Studio
90,2015,Q4,0,Java Studio
91,2016,Q1,0,Java Studio
92,2016,Q2,0,Java Studio
93,2016,Q3,0,Java Studio
94,2016,Q4,0,Java Studio
95,2017,Q1,0,Java Studio
96,2017,Q3,0,Java Studio
97,2017,Q4,0,Java Studio
98,2018,Q2,0,Java Studio
99,2018,Q3,0,Java Studio
100,2018,Q4,0,Java Studio
101,2019,Q1,0,Java Studio
103,2019,Q2,0,Java Studio
104,2019,Q3,0,Java Studio
105,2019,Q4,0,Java Studio
106,2020,Q1,0,Java Studio
110,2020,Q2,0,Java Studio
115,2020,Q3,0,Java Studio
120,2020,Q4,0,Java Studio
125,2021,Q1,0,Java Studio
131,2021,Q2,30,Java Studio
132,2021,Q3,0,Java Studio
137,2021,Q4,0,Java Studio
142,2022,Q1,0,Java Studio
147,2016,Q1,0,Testing Automation Studio
148,2017,Q1,0,Testing Automation Studio
149,2018,Q1,0,Testing Automation Studio
150,2018,Q2,0,Testing Automation Studio
151,2018,Q3,0,Testing Automation Studio
152,2018,Q4,0,Testing Automation Studio
153,2019,Q2,0,Testing Automation Studio
154,2019,Q3,0,Testing Automation Studio
155,2019,Q4,0,Testing Automation Studio
