,year,quarter,techhub_score,studio_name
0,2014,Q1,0,Scala Studio
1,2014,Q2,0,Scala Studio
2,2014,Q3,0,Scala Studio
3,2014,Q4,0,Scala Studio
4,2015,Q2,0,Scala Studio
5,2015,Q3,0,Scala Studio
6,2015,Q4,0,Scala Studio
7,2016,Q1,0,Scala Studio
9,2016,Q2,0,Scala Studio
13,2016,Q3,0,Scala Studio
15,2016,Q4,0,Scala Studio
17,2017,Q1,0,Scala Studio
21,2017,Q2,0,Scala Studio
25,2017,Q3,0,Scala Studio
30,2017,Q4,0,Scala Studio
35,2018,Q1,0,Scala Studio
39,2018,Q2,0,Scala Studio
43,2018,Q3,0,Scala Studio
45,2018,Q4,0,Scala Studio
47,2019,Q1,0,Scala Studio
51,2019,Q2,60,Scala Studio
52,2019,Q3,90,Scala Studio
53,2019,Q4,90,Scala Studio
54,2020,Q1,15,Scala Studio
57,2020,Q2,60,Scala Studio
58,2020,Q3,45,Scala Studio
60,2020,Q4,45,Scala Studio
62,2021,Q1,30,Scala Studio
63,2021,Q2,30,Scala Studio
65,2021,Q3,60,Scala Studio
67,2021,Q4,60,Scala Studio
69,2022,Q1,45,Scala Studio
70,2015,Q2,0,Java Studio
71,2015,Q3,0,Java Studio
72,2015,Q4,0,Java Studio
73,2016,Q1,0,Java Studio
74,2016,Q2,0,Java Studio
75,2016,Q3,0,Java Studio
76,2016,Q4,0,Java Studio
77,2017,Q1,0,Java Studio
78,2017,Q3,0,Java Studio
79,2017,Q4,0,Java Studio
80,2018,Q2,0,Java Studio
81,2018,Q3,0,Java Studio
82,2018,Q4,0,Java Studio
83,2019,Q1,30,Java Studio
84,2019,Q2,0,Java Studio
85,2019,Q3,30,Java Studio
86,2019,Q4,30,Java Studio
87,2020,Q1,45,Java Studio
88,2020,Q2,30,Java Studio
91,2020,Q3,45,Java Studio
92,2020,Q4,45,Java Studio
93,2021,Q1,15,Java Studio
95,2021,Q2,15,Java Studio
97,2021,Q3,15,Java Studio
99,2021,Q4,15,Java Studio
101,2022,Q1,15,Java Studio
102,2016,Q1,0,Testing Automation Studio
103,2017,Q1,0,Testing Automation Studio
104,2018,Q1,0,Testing Automation Studio
105,2018,Q2,0,Testing Automation Studio
106,2018,Q3,0,Testing Automation Studio
107,2018,Q4,0,Testing Automation Studio
108,2019,Q2,0,Testing Automation Studio
109,2019,Q3,0,Testing Automation Studio
110,2019,Q4,0,Testing Automation Studio
111,2020,Q1,15,Testing Automation Studio
