,year,quarter,webinar_score,studio_name
0,2014,Q1,0,Scala Studio
1,2014,Q2,0,Scala Studio
2,2014,Q3,0,Scala Studio
3,2014,Q4,0,Scala Studio
4,2015,Q2,0,Scala Studio
5,2015,Q3,0,Scala Studio
6,2015,Q4,0,Scala Studio
7,2016,Q1,0,Scala Studio
9,2016,Q2,0,Scala Studio
13,2016,Q3,0,Scala Studio
15,2016,Q4,0,Scala Studio
17,2017,Q1,0,Scala Studio
21,2017,Q2,0,Scala Studio
25,2017,Q3,0,Scala Studio
30,2017,Q4,0,Scala Studio
35,2018,Q1,15,Scala Studio
36,2018,Q2,0,Scala Studio
40,2018,Q3,0,Scala Studio
42,2018,Q4,0,Scala Studio
44,2019,Q1,0,Scala Studio
48,2019,Q2,15,Scala Studio
49,2019,Q3,15,Scala Studio
50,2019,Q4,15,Scala Studio
51,2020,Q1,15,Scala Studio
52,2020,Q2,15,Scala Studio
53,2020,Q3,0,Scala Studio
58,2020,Q4,0,Scala Studio
63,2021,Q1,15,Scala Studio
65,2021,Q2,15,Scala Studio
66,2021,Q3,15,Scala Studio
67,2021,Q4,15,Scala Studio
68,2022,Q1,0,Scala Studio
73,2015,Q2,0,Java Studio
74,2015,Q3,0,Java Studio
75,2015,Q4,0,Java Studio
76,2016,Q1,0,Java Studio
77,2016,Q2,0,Java Studio
78,2016,Q3,0,Java Studio
79,2016,Q4,0,Java Studio
80,2017,Q1,0,Java Studio
81,2017,Q3,0,Java Studio
82,2017,Q4,0,Java Studio
83,2018,Q2,0,Java Studio
84,2018,Q3,0,Java Studio
85,2018,Q4,0,Java Studio
86,2019,Q1,0,Java Studio
88,2019,Q2,0,Java Studio
89,2019,Q3,15,Java Studio
90,2019,Q4,15,Java Studio
91,2020,Q1,15,Java Studio
92,2020,Q2,0,Java Studio
97,2020,Q3,15,Java Studio
98,2020,Q4,15,Java Studio
99,2021,Q1,0,Java Studio
105,2021,Q2,0,Java Studio
110,2021,Q3,15,Java Studio
112,2021,Q4,15,Java Studio
114,2022,Q1,0,Java Studio
119,2016,Q1,0,Testing Automation Studio
120,2017,Q1,0,Testing Automation Studio
121,2018,Q1,0,Testing Automation Studio
122,2018,Q2,0,Testing Automation Studio
123,2018,Q3,0,Testing Automation Studio
124,2018,Q4,0,Testing Automation Studio
125,2019,Q2,0,Testing Automation Studio
126,2019,Q3,0,Testing Automation Studio
127,2019,Q4,0,Testing Automation Studio
128,2020,Q1,0,Testing Automation Studio
