studio_name,year,quarter,blog_score
AI/ML Studio,2020.0,Q2,7.5
AI/ML Studio,2021.0,Q2,6.0
AI/ML Studio,2021.0,Q3,9.0
AI/ML Studio,2021.0,Q4,9.0
AI/ML Studio,2022.0,Q1,35.0
AI/ML Studio,2022.0,Q2,0.0
Account Management,2020.0,Q2,5.0
Agile Studio,2021.0,Q2,0.0
Agile Studio,2021.0,Q3,5.0
Agile Studio,2021.0,Q4,5.0
Agile Studio,2022.0,Q1,20.0
DevOps Studio,2019.0,Q1,15.0
DevOps Studio,2019.0,Q2,2.5
DevOps Studio,2019.0,Q3,17.5
DevOps Studio,2019.0,Q4,17.5
DevOps Studio,2020.0,Q1,11.0
DevOps Studio,2020.0,Q2,25.0
DevOps Studio,2020.0,Q3,14.0
DevOps Studio,2020.0,Q4,14.0
DevOps Studio,2021.0,Q1,2.142857142857143
DevOps Studio,2021.0,Q2,9.0
DevOps Studio,2021.0,Q3,8.0
DevOps Studio,2021.0,Q4,8.0
DevOps Studio,2022.0,Q1,88.0
DevOps Studio,2022.0,Q2,13.0
Engineering Operations,2016.0,Q2,10.0
Engineering Operations,2018.0,Q1,0.0
Engineering Operations,2019.0,Q1,5.0
Engineering Operations,2019.0,Q2,5.0
Engineering Operations,2019.0,Q3,0.0
Engineering Operations,2019.0,Q4,0.0
Engineering Operations,2020.0,Q1,5.0
Engineering Operations,2021.0,Q1,5.0
Frontend Studio,2019.0,Q1,10.0
Frontend Studio,2019.0,Q2,0.0
Frontend Studio,2019.0,Q3,0.0
Frontend Studio,2019.0,Q4,0.0
Frontend Studio,2020.0,Q2,15.0
Frontend Studio,2020.0,Q3,17.5
Frontend Studio,2020.0,Q4,17.5
Frontend Studio,2021.0,Q2,8.0
Frontend Studio,2021.0,Q3,14.0
Frontend Studio,2021.0,Q4,14.0
Frontend Studio,2022.0,Q1,8.0
Frontend Studio,2022.0,Q2,3.3333333333333335
Java Studio,2015.0,Q2,5.0
Java Studio,2015.0,Q3,5.0
Java Studio,2015.0,Q4,5.0
Java Studio,2016.0,Q1,10.0
Java Studio,2016.0,Q2,10.0
Java Studio,2016.0,Q3,15.0
Java Studio,2016.0,Q4,15.0
Java Studio,2017.0,Q1,5.0
Java Studio,2017.0,Q3,5.0
Java Studio,2017.0,Q4,5.0
Java Studio,2018.0,Q2,10.0
Java Studio,2018.0,Q3,15.0
Java Studio,2018.0,Q4,15.0
Java Studio,2019.0,Q1,5.0
Java Studio,2019.0,Q2,5.0
Java Studio,2019.0,Q3,0.0
Java Studio,2019.0,Q4,0.0
Java Studio,2020.0,Q1,18.75
Java Studio,2020.0,Q2,23.0
Java Studio,2020.0,Q3,19.0
Java Studio,2020.0,Q4,19.0
Java Studio,2021.0,Q1,5.833333333333333
Java Studio,2021.0,Q2,12.5
Java Studio,2021.0,Q3,9.375
Java Studio,2021.0,Q4,9.375
Java Studio,2022.0,Q1,42.5
Java Studio,2022.0,Q2,6.153846153846154
Learning and Development,2021.0,Q2,5.0
Learning and Development,2021.0,Q3,0.0
Learning and Development,2021.0,Q4,0.0
Lightbend CoE,2014.0,Q1,15.0
Lightbend CoE,2014.0,Q2,55.0
Lightbend CoE,2014.0,Q3,20.0
Lightbend CoE,2014.0,Q4,20.0
