studio_name,year,quarter,knolx_score
AI/ML Studio,2020.0,Q2,0.0
AI/ML Studio,2021.0,Q2,4.0
AI/ML Studio,2021.0,Q3,0.0
AI/ML Studio,2021.0,Q4,0.0
AI/ML Studio,2022.0,Q1,0.0
AI/ML Studio,2022.0,Q2,40.0
Account Management,2020.0,Q2,0.0
Agile Studio,2021.0,Q2,20.0
Agile Studio,2021.0,Q3,0.0
Agile Studio,2021.0,Q4,0.0
Agile Studio,2022.0,Q1,0.0
DevOps Studio,2019.0,Q1,0.0
DevOps Studio,2019.0,Q2,20.0
DevOps Studio,2019.0,Q3,10.0
DevOps Studio,2019.0,Q4,10.0
DevOps Studio,2020.0,Q1,4.0
DevOps Studio,2020.0,Q2,4.0
DevOps Studio,2020.0,Q3,12.0
DevOps Studio,2020.0,Q4,12.0
DevOps Studio,2021.0,Q1,17.142857142857142
DevOps Studio,2021.0,Q2,8.0
DevOps Studio,2021.0,Q3,20.0
DevOps Studio,2021.0,Q4,20.0
DevOps Studio,2022.0,Q1,32.0
DevOps Studio,2022.0,Q2,8.0
Engineering Operations,2016.0,Q2,0.0
Engineering Operations,2018.0,Q1,40.0
Engineering Operations,2019.0,Q1,0.0
Engineering Operations,2019.0,Q2,0.0
Engineering Operations,2019.0,Q3,20.0
Engineering Operations,2019.0,Q4,20.0
Engineering Operations,2020.0,Q1,0.0
Engineering Operations,2021.0,Q1,0.0
Frontend Studio,2019.0,Q1,0.0
Frontend Studio,2019.0,Q2,20.0
Frontend Studio,2019.0,Q3,20.0
Frontend Studio,2019.0,Q4,20.0
Frontend Studio,2020.0,Q2,0.0
Frontend Studio,2020.0,Q3,0.0
Frontend Studio,2020.0,Q4,0.0
Frontend Studio,2021.0,Q2,4.0
Frontend Studio,2021.0,Q3,16.0
Frontend Studio,2021.0,Q4,16.0
Frontend Studio,2022.0,Q1,24.0
Frontend Studio,2022.0,Q2,6.666666666666667
Java Studio,2015.0,Q2,0.0
Java Studio,2015.0,Q3,0.0
Java Studio,2015.0,Q4,0.0
Java Studio,2016.0,Q1,0.0
Java Studio,2016.0,Q2,0.0
Java Studio,2016.0,Q3,0.0
Java Studio,2016.0,Q4,0.0
Java Studio,2017.0,Q1,0.0
Java Studio,2017.0,Q3,0.0
Java Studio,2017.0,Q4,0.0
Java Studio,2018.0,Q2,0.0
Java Studio,2018.0,Q3,0.0
Java Studio,2018.0,Q4,0.0
Java Studio,2019.0,Q1,20.0
Java Studio,2019.0,Q2,0.0
Java Studio,2019.0,Q3,0.0
Java Studio,2019.0,Q4,0.0
Java Studio,2020.0,Q1,10.0
Java Studio,2020.0,Q2,8.0
Java Studio,2020.0,Q3,4.0
Java Studio,2020.0,Q4,4.0
Java Studio,2021.0,Q1,3.3333333333333335
Java Studio,2021.0,Q2,10.0
Java Studio,2021.0,Q3,5.0
Java Studio,2021.0,Q4,5.0
Java Studio,2022.0,Q1,6.666666666666667
Java Studio,2022.0,Q2,0.0
Learning and Development,2021.0,Q2,20.0
Learning and Development,2021.0,Q3,40.0
Learning and Development,2021.0,Q4,40.0
