studio_name,year,quarter,total_score
AI/ML Studio,2020.0,Q2,7.5
AI/ML Studio,2021.0,Q2,13.0
AI/ML Studio,2021.0,Q3,39.0
AI/ML Studio,2021.0,Q4,39.0
AI/ML Studio,2022.0,Q1,65.0
AI/ML Studio,2022.0,Q2,40.0
Account Management,2020.0,Q2,5.0
Agile Studio,2021.0,Q2,20.0
Agile Studio,2021.0,Q3,5.0
Agile Studio,2021.0,Q4,5.0
Agile Studio,2022.0,Q1,20.0
DevOps Studio,2019.0,Q1,15.0
DevOps Studio,2019.0,Q2,30.0
DevOps Studio,2019.0,Q3,35.0
DevOps Studio,2019.0,Q4,35.0
DevOps Studio,2020.0,Q1,27.0
DevOps Studio,2020.0,Q2,44.0
DevOps Studio,2020.0,Q3,41.0
DevOps Studio,2020.0,Q4,41.0
DevOps Studio,2021.0,Q1,30.0
DevOps Studio,2021.0,Q2,68.0
DevOps Studio,2021.0,Q3,196.0
DevOps Studio,2021.0,Q4,196.0
DevOps Studio,2022.0,Q1,891.0
DevOps Studio,2022.0,Q2,21.0
Engineering Operations,2016.0,Q2,10.0
Engineering Operations,2018.0,Q1,40.0
Engineering Operations,2019.0,Q1,5.0
Engineering Operations,2019.0,Q2,5.0
Engineering Operations,2019.0,Q3,20.0
Engineering Operations,2019.0,Q4,20.0
Engineering Operations,2020.0,Q1,5.0
Engineering Operations,2021.0,Q1,20.0
Frontend Studio,2019.0,Q1,10.0
Frontend Studio,2019.0,Q2,20.0
Frontend Studio,2019.0,Q3,20.0
Frontend Studio,2019.0,Q4,20.0
Frontend Studio,2020.0,Q2,30.0
Frontend Studio,2020.0,Q3,25.0
Frontend Studio,2020.0,Q4,25.0
Frontend Studio,2021.0,Q2,12.0
Frontend Studio,2021.0,Q3,81.0
Frontend Studio,2021.0,Q4,81.0
Frontend Studio,2022.0,Q1,98.0
Frontend Studio,2022.0,Q2,20.0
Java Studio,2015.0,Q2,5.0
Java Studio,2015.0,Q3,5.0
Java Studio,2015.0,Q4,5.0
Java Studio,2016.0,Q1,10.0
Java Studio,2016.0,Q2,10.0
Java Studio,2016.0,Q3,15.0
Java Studio,2016.0,Q4,15.0
Java Studio,2017.0,Q1,5.0
Java Studio,2017.0,Q3,5.0
Java Studio,2017.0,Q4,5.0
Java Studio,2018.0,Q2,10.0
Java Studio,2018.0,Q3,15.0
