,year,quarter,conference_score,studio_name
0,2014,Q1,0,Scala Studio
1,2014,Q2,0,Scala Studio
2,2014,Q3,0,Scala Studio
3,2014,Q4,0,Scala Studio
4,2015,Q2,0,Scala Studio
5,2015,Q3,0,Scala Studio
6,2015,Q4,0,Scala Studio
7,2016,Q1,0,Scala Studio
9,2016,Q2,0,Scala Studio
13,2016,Q3,0,Scala Studio
15,2016,Q4,0,Scala Studio
17,2017,Q1,0,Scala Studio
21,2017,Q2,0,Scala Studio
25,2017,Q3,0,Scala Studio
30,2017,Q4,0,Scala Studio
35,2018,Q1,0,Scala Studio
39,2018,Q2,0,Scala Studio
43,2018,Q3,0,Scala Studio
45,2018,Q4,0,Scala Studio
47,2019,Q1,0,Scala Studio
51,2019,Q2,0,Scala Studio
56,2019,Q3,0,Scala Studio
62,2019,Q4,0,Scala Studio
68,2020,Q1,0,Scala Studio
76,2020,Q2,0,Scala Studio
81,2020,Q3,100,Scala Studio
82,2020,Q4,100,Scala Studio
83,2021,Q1,0,Scala Studio
88,2021,Q2,0,Scala Studio
93,2021,Q3,0,Scala Studio
98,2021,Q4,0,Scala Studio
103,2022,Q1,0,Scala Studio
108,2015,Q2,0,Java Studio
109,2015,Q3,0,Java Studio
110,2015,Q4,0,Java Studio
111,2016,Q1,0,Java Studio
112,2016,Q2,0,Java Studio
113,2016,Q3,0,Java Studio
114,2016,Q4,0,Java Studio
115,2017,Q1,0,Java Studio
116,2017,Q3,0,Java Studio
117,2017,Q4,0,Java Studio
118,2018,Q2,0,Java Studio
119,2018,Q3,0,Java Studio
120,2018,Q4,0,Java Studio
121,2019,Q1,0,Java Studio
123,2019,Q2,0,Java Studio
124,2019,Q3,0,Java Studio
125,2019,Q4,0,Java Studio
126,2020,Q1,0,Java Studio
130,2020,Q2,0,Java Studio
135,2020,Q3,0,Java Studio
140,2020,Q4,0,Java Studio
145,2021,Q1,0,Java Studio
151,2021,Q2,0,Java Studio
156,2021,Q3,0,Java Studio
161,2021,Q4,0,Java Studio
166,2022,Q1,0,Java Studio
171,2016,Q1,0,Testing Automation Studio
172,2017,Q1,0,Testing Automation Studio
173,2018,Q1,0,Testing Automation Studio
174,2018,Q2,0,Testing Automation Studio
175,2018,Q3,0,Testing Automation Studio
176,2018,Q4,0,Testing Automation Studio
177,2019,Q2,0,Testing Automation Studio
178,2019,Q3,0,Testing Automation Studio
179,2019,Q4,0,Testing Automation Studio
180,2020,Q1,0,Testing Automation Studio
