studio_name,year,quarter,conference_score
AI/ML Studio,2020,Q1,0
AI/ML Studio,2020,Q2,0
AI/ML Studio,2020,Q3,0
AI/ML Studio,2020,Q4,0
AI/ML Studio,2021,Q1,0
AI/ML Studio,2021,Q2,0
AI/ML Studio,2021,Q3,0
AI/ML Studio,2021,Q4,0
AI/ML Studio,2022,Q1,0
Account Management,2020,Q2,0
Account Management,2022,Q1,175
Agile Studio,2021,Q2,0
Agile Studio,2021,Q3,0
Agile Studio,2021,Q4,0
Agile Studio,2022,Q1,0
DevOps Studio,2019,Q1,0
DevOps Studio,2019,Q2,0
DevOps Studio,2019,Q3,0
DevOps Studio,2019,Q4,0
DevOps Studio,2020,Q1,0
DevOps Studio,2020,Q2,0
DevOps Studio,2020,Q3,0
DevOps Studio,2020,Q4,0
DevOps Studio,2021,Q1,0
DevOps Studio,2021,Q2,0
DevOps Studio,2021,Q3,0
DevOps Studio,2021,Q4,0
DevOps Studio,2022,Q1,0
Engineering Operations,2016,Q2,0
Engineering Operations,2018,Q1,0
Engineering Operations,2019,Q1,0
Engineering Operations,2019,Q2,0
Engineering Operations,2019,Q3,0
Engineering Operations,2019,Q4,0
Engineering Operations,2020,Q1,0
Engineering Operations,2021,Q1,0
Engineering Operations,2022,Q1,100
Frontend Studio,2019,Q1,0
Frontend Studio,2019,Q2,0
Frontend Studio,2019,Q3,0
Frontend Studio,2019,Q4,0
Frontend Studio,2020,Q2,0
Frontend Studio,2020,Q3,0
Frontend Studio,2020,Q4,0
Frontend Studio,2021,Q2,0
Frontend Studio,2021,Q3,0
Frontend Studio,2021,Q4,0
Frontend Studio,2022,Q1,60
Interns,2022,Q1,20
Java Studio,2015,Q2,0
Java Studio,2015,Q3,0
Java Studio,2015,Q4,0
Java Studio,2016,Q1,0
Java Studio,2016,Q2,0
Java Studio,2016,Q3,0
Java Studio,2016,Q4,0
Java Studio,2017,Q1,0
Java Studio,2017,Q3,0
Java Studio,2017,Q4,0
Java Studio,2018,Q2,0
Java Studio,2018,Q3,0
Java Studio,2018,Q4,0
Java Studio,2019,Q1,0
Java Studio,2019,Q2,0
Java Studio,2019,Q3,0
Java Studio,2019,Q4,0
Java Studio,2020,Q1,0
Java Studio,2020,Q2,0
Java Studio,2020,Q3,0
Java Studio,2020,Q4,0
Java Studio,2021,Q1,0
Java Studio,2021,Q2,0
