,year,quarter,researchpaper_score,studio_name
0,2014,Q1,0,Scala Studio
1,2014,Q2,0,Scala Studio
2,2014,Q3,0,Scala Studio
3,2014,Q4,0,Scala Studio
4,2015,Q2,0,Scala Studio
5,2015,Q3,0,Scala Studio
6,2015,Q4,0,Scala Studio
7,2016,Q1,0,Scala Studio
9,2016,Q2,0,Scala Studio
13,2016,Q3,0,Scala Studio
15,2016,Q4,0,Scala Studio
17,2017,Q1,0,Scala Studio
21,2017,Q2,0,Scala Studio
25,2017,Q3,0,Scala Studio
30,2017,Q4,0,Scala Studio
35,2018,Q1,0,Scala Studio
39,2018,Q2,0,Scala Studio
43,2018,Q3,0,Scala Studio
45,2018,Q4,0,Scala Studio
47,2019,Q1,0,Scala Studio
51,2019,Q2,0,Scala Studio
56,2019,Q3,0,Scala Studio
62,2019,Q4,0,Scala Studio
68,2020,Q1,0,Scala Studio
76,2020,Q2,0,Scala Studio
81,2020,Q3,0,Scala Studio
86,2020,Q4,0,Scala Studio
91,2021,Q1,0,Scala Studio
96,2021,Q2,0,Scala Studio
101,2021,Q3,0,Scala Studio
106,2021,Q4,0,Scala Studio
111,2022,Q1,0,Scala Studio
116,2015,Q2,0,Java Studio
117,2015,Q3,0,Java Studio
118,2015,Q4,0,Java Studio
119,2016,Q1,0,Java Studio
120,2016,Q2,0,Java Studio
121,2016,Q3,0,Java Studio
122,2016,Q4,0,Java Studio
123,2017,Q1,0,Java Studio
124,2017,Q3,0,Java Studio
125,2017,Q4,0,Java Studio
126,2018,Q2,0,Java Studio
127,2018,Q3,0,Java Studio
128,2018,Q4,0,Java Studio
129,2019,Q1,0,Java Studio
131,2019,Q2,0,Java Studio
132,2019,Q3,0,Java Studio
133,2019,Q4,0,Java Studio
134,2020,Q1,0,Java Studio
138,2020,Q2,0,Java Studio
143,2020,Q3,0,Java Studio
148,2020,Q4,0,Java Studio
153,2021,Q1,0,Java Studio
159,2021,Q2,0,Java Studio
164,2021,Q3,0,Java Studio
169,2021,Q4,0,Java Studio
174,2022,Q1,0,Java Studio
179,2016,Q1,0,Testing Automation Studio
180,2017,Q1,0,Testing Automation Studio
181,2018,Q1,0,Testing Automation Studio
182,2018,Q2,0,Testing Automation Studio
183,2018,Q3,0,Testing Automation Studio
184,2018,Q4,0,Testing Automation Studio
185,2019,Q2,0,Testing Automation Studio
186,2019,Q3,0,Testing Automation Studio
187,2019,Q4,0,Testing Automation Studio
