studio_name,year,quarter,knolx_score
AI/ML Studio,2020,Q1,0.0
AI/ML Studio,2020,Q2,0.0
AI/ML Studio,2020,Q3,60.0
AI/ML Studio,2020,Q4,60.0
AI/ML Studio,2021,Q1,0.0
AI/ML Studio,2021,Q2,3.3333333333333335
AI/ML Studio,2021,Q3,0.0
AI/ML Studio,2021,Q4,0.0
AI/ML Studio,2022,Q1,0.0
Account Management,2020,Q2,0.0
Account Management,2022,Q1,0.0
Agile Studio,2021,Q2,20.0
Agile Studio,2021,Q3,0.0
Agile Studio,2021,Q4,0.0
Agile Studio,2022,Q1,0.0
DevOps Studio,2019,Q1,0.0
DevOps Studio,2019,Q2,20.0
DevOps Studio,2019,Q3,10.0
DevOps Studio,2019,Q4,10.0
DevOps Studio,2020,Q1,4.0
DevOps Studio,2020,Q2,4.0
DevOps Studio,2020,Q3,12.0
DevOps Studio,2020,Q4,12.0
DevOps Studio,2021,Q1,20.0
DevOps Studio,2021,Q2,8.0
DevOps Studio,2021,Q3,20.0
DevOps Studio,2021,Q4,20.0
DevOps Studio,2022,Q1,28.0
Engineering Operations,2016,Q2,0.0
Engineering Operations,2018,Q1,40.0
Engineering Operations,2019,Q1,0.0
Engineering Operations,2019,Q2,0.0
Engineering Operations,2019,Q3,20.0
Engineering Operations,2019,Q4,20.0
Engineering Operations,2020,Q1,0.0
Engineering Operations,2021,Q1,0.0
Engineering Operations,2022,Q1,0.0
Frontend Studio,2019,Q1,0.0
Frontend Studio,2019,Q2,20.0
Frontend Studio,2019,Q3,20.0
Frontend Studio,2019,Q4,20.0
Frontend Studio,2020,Q2,0.0
Frontend Studio,2020,Q3,0.0
Frontend Studio,2020,Q4,0.0
Frontend Studio,2021,Q2,4.0
Frontend Studio,2021,Q3,16.0
Frontend Studio,2021,Q4,16.0
Frontend Studio,2022,Q1,8.0
Interns,2022,Q1,12.0
Java Studio,2015,Q2,0.0
Java Studio,2015,Q3,0.0
Java Studio,2015,Q4,0.0
Java Studio,2016,Q1,0.0
Java Studio,2016,Q2,0.0
Java Studio,2016,Q3,0.0
Java Studio,2016,Q4,0.0
Java Studio,2017,Q1,0.0
Java Studio,2017,Q3,0.0
Java Studio,2017,Q4,0.0
Java Studio,2018,Q2,0.0
Java Studio,2018,Q3,0.0
Java Studio,2018,Q4,0.0
Java Studio,2019,Q1,20.0
Java Studio,2019,Q2,0.0
Java Studio,2019,Q3,0.0
Java Studio,2019,Q4,0.0
Java Studio,2020,Q1,10.0
Java Studio,2020,Q2,8.0
Java Studio,2020,Q3,4.0
Java Studio,2020,Q4,4.0
Java Studio,2021,Q1,3.3333333333333335
Java Studio,2021,Q2,12.0
Java Studio,2021,Q3,8.0
Java Studio,2021,Q4,8.0
Java Studio,2022,Q1,20.0
Learning and Development,2021,Q2,20.0
Learning and Development,2021,Q3,40.0
Learning and Development,2021,Q4,40.0
Lightbend CoE,2014,Q1,0.0
Lightbend CoE,2014,Q2,0.0
Lightbend CoE,2014,Q3,0.0
Lightbend CoE,2014,Q4,0.0
Lightbend CoE,2015,Q1,0.0
Lightbend CoE,2015,Q2,0.0
Lightbend CoE,2015,Q3,0.0
Lightbend CoE,2015,Q4,0.0
Lightbend CoE,2016,Q1,0.0
Lightbend CoE,2016,Q2,0.0
Lightbend CoE,2016,Q3,0.0
Lightbend CoE,2016,Q4,0.0
Lightbend CoE,2017,Q1,0.0
Lightbend CoE,2017,Q2,0.0
Lightbend CoE,2017,Q3,20.0
Lightbend CoE,2017,Q4,20.0
Lightbend CoE,2018,Q1,0.0
Lightbend CoE,2018,Q2,20.0
Lightbend CoE,2019,Q1,20.0
Lightbend CoE,2019,Q2,0.0
Lightbend CoE,2019,Q3,20.0
Lightbend CoE,2019,Q4,20.0
Lightbend CoE,2020,Q1,20.0
Lightbend CoE,2020,Q2,20.0
Lightbend CoE,2020,Q3,0.0
Lightbend CoE,2020,Q4,0.0
Lightbend CoE,2021,Q1,0.0
Lightbend CoE,2021,Q2,0.0
Lightbend CoE,2021,Q3,0.0
Lightbend CoE,2021,Q4,0.0
Management,2010,Q2,0.0
Management,2010,Q3,0.0
Management,2010,Q4,0.0
Management,2011,Q1,0.0
Management,2011,Q2,0.0
Management,2011,Q3,0.0
Management,2011,Q4,0.0
Management,2012,Q1,0.0
Management,2012,Q2,0.0
Management,2012,Q3,0.0
Management,2012,Q4,0.0
Management,2013,Q1,0.0
Management,2013,Q2,0.0
Management,2013,Q3,0.0
Management,2013,Q4,0.0
Management,2014,Q1,0.0
Management,2014,Q2,0.0
Management,2014,Q3,0.0
Management,2014,Q4,0.0
Management,2015,Q2,0.0
Management,2015,Q3,0.0
Management,2015,Q4,0.0
Management,2016,Q1,0.0
Management,2016,Q2,0.0
Management,2016,Q3,0.0
Management,2016,Q4,0.0
Management,2017,Q1,0.0
Management,2017,Q2,0.0
Management,2017,Q3,0.0
Management,2017,Q4,0.0
Management,2018,Q1,0.0
Management,2018,Q2,0.0
Management,2018,Q3,0.0
Management,2018,Q4,0.0
Management,2019,Q1,0.0
Management,2019,Q2,0.0
Management,2019,Q3,0.0
Management,2019,Q4,0.0
Management,2020,Q1,0.0
Management,2020,Q2,0.0
Management,2020,Q3,0.0
Management,2020,Q4,0.0
Management,2021,Q1,0.0
Management,2022,Q1,0.0
Marketing,2018,Q2,0.0
Marketing,2018,Q3,0.0
Marketing,2018,Q4,0.0
Marketing,2019,Q1,0.0
Marketing,2019,Q2,0.0
Marketing,2019,Q3,0.0
Marketing,2019,Q4,0.0
Marketing,2020,Q1,0.0
Marketing,2020,Q2,0.0
Marketing,2020,Q3,0.0
Marketing,2020,Q4,0.0
Marketing,2021,Q1,0.0
Marketing,2021,Q2,0.0
Marketing,2021,Q3,0.0
Marketing,2021,Q4,0.0
Rust Studio,2019,Q1,0.0
Rust Studio,2019,Q2,0.0
Rust Studio,2019,Q3,0.0
Rust Studio,2019,Q4,0.0
Rust Studio,2020,Q1,0.0
Rust Studio,2020,Q2,0.0
Rust Studio,2020,Q3,0.0
Rust Studio,2020,Q4,0.0
Rust Studio,2021,Q1,0.0
Rust Studio,2021,Q2,0.0
Rust Studio,2021,Q3,0.0
Rust Studio,2021,Q4,0.0
Rust Studio,2022,Q1,0.0
Scala Studio,2014,Q1,0.0
Scala Studio,2014,Q2,0.0
Scala Studio,2014,Q3,0.0
Scala Studio,2014,Q4,0.0
Scala Studio,2015,Q2,0.0
Scala Studio,2015,Q3,0.0
Scala Studio,2015,Q4,0.0
Scala Studio,2016,Q1,0.0
Scala Studio,2016,Q2,0.0
Scala Studio,2016,Q3,0.0
Scala Studio,2016,Q4,0.0
Scala Studio,2017,Q1,0.0
Scala Studio,2017,Q2,5.0
Scala Studio,2017,Q3,8.0
Scala Studio,2017,Q4,8.0
Scala Studio,2018,Q1,5.0
Scala Studio,2018,Q2,0.0
Scala Studio,2018,Q3,60.0
Scala Studio,2018,Q4,60.0
Scala Studio,2019,Q1,0.0
Scala Studio,2019,Q2,4.0
Scala Studio,2019,Q3,0.0
Scala Studio,2019,Q4,0.0
Scala Studio,2020,Q1,5.0
Scala Studio,2020,Q2,4.0
Scala Studio,2020,Q3,4.0
Scala Studio,2020,Q4,4.0
Scala Studio,2021,Q1,24.0
Scala Studio,2021,Q2,16.0
Scala Studio,2021,Q3,20.0
Scala Studio,2021,Q4,20.0
Scala Studio,2022,Q1,16.0
Testing Automation Studio,2016,Q1,0.0
Testing Automation Studio,2017,Q1,20.0
Testing Automation Studio,2018,Q1,40.0
Testing Automation Studio,2018,Q2,20.0
Testing Automation Studio,2018,Q3,20.0
Testing Automation Studio,2018,Q4,20.0
Testing Automation Studio,2019,Q2,20.0
Testing Automation Studio,2019,Q3,20.0
Testing Automation Studio,2019,Q4,20.0
Testing Automation Studio,2020,Q1,6.666666666666667
Testing Automation Studio,2020,Q2,0.0
Testing Automation Studio,2020,Q3,0.0
Testing Automation Studio,2020,Q4,0.0
Testing Automation Studio,2021,Q1,8.0
Testing Automation Studio,2021,Q2,13.333333333333334
Testing Automation Studio,2021,Q3,0.0
Testing Automation Studio,2021,Q4,0.0
Testing Automation Studio,2022,Q1,8.0
