studio_name,year,quarter,blog_score
AI/ML Studio,2020,Q1,5.0
AI/ML Studio,2020,Q2,13.333333333333334
AI/ML Studio,2020,Q3,20.0
AI/ML Studio,2020,Q4,20.0
AI/ML Studio,2021,Q1,5.0
AI/ML Studio,2021,Q2,5.833333333333333
AI/ML Studio,2021,Q3,7.0
AI/ML Studio,2021,Q4,7.0
AI/ML Studio,2022,Q1,7.5
Account Management,2020,Q2,5.0
Account Management,2022,Q1,0.0
Agile Studio,2021,Q2,0.0
Agile Studio,2021,Q3,5.0
Agile Studio,2021,Q4,5.0
Agile Studio,2022,Q1,5.0
DevOps Studio,2019,Q1,15.0
DevOps Studio,2019,Q2,2.5
DevOps Studio,2019,Q3,17.5
DevOps Studio,2019,Q4,17.5
DevOps Studio,2020,Q1,11.0
DevOps Studio,2020,Q2,25.0
DevOps Studio,2020,Q3,14.0
DevOps Studio,2020,Q4,14.0
DevOps Studio,2021,Q1,1.6666666666666667
DevOps Studio,2021,Q2,9.0
DevOps Studio,2021,Q3,8.0
DevOps Studio,2021,Q4,8.0
DevOps Studio,2022,Q1,25.0
Engineering Operations,2016,Q2,10.0
Engineering Operations,2018,Q1,0.0
Engineering Operations,2019,Q1,5.0
Engineering Operations,2019,Q2,5.0
Engineering Operations,2019,Q3,0.0
Engineering Operations,2019,Q4,0.0
Engineering Operations,2020,Q1,5.0
Engineering Operations,2021,Q1,5.0
Engineering Operations,2022,Q1,0.0
Frontend Studio,2019,Q1,10.0
Frontend Studio,2019,Q2,0.0
Frontend Studio,2019,Q3,0.0
Frontend Studio,2019,Q4,0.0
Frontend Studio,2020,Q2,15.0
Frontend Studio,2020,Q3,17.5
Frontend Studio,2020,Q4,17.5
Frontend Studio,2021,Q2,8.0
Frontend Studio,2021,Q3,14.0
Frontend Studio,2021,Q4,14.0
Frontend Studio,2022,Q1,0.0
Interns,2022,Q1,8.0
Java Studio,2015,Q2,5.0
Java Studio,2015,Q3,5.0
Java Studio,2015,Q4,5.0
Java Studio,2016,Q1,10.0
Java Studio,2016,Q2,10.0
Java Studio,2016,Q3,15.0
Java Studio,2016,Q4,15.0
Java Studio,2017,Q1,5.0
Java Studio,2017,Q3,5.0
Java Studio,2017,Q4,5.0
Java Studio,2018,Q2,10.0
Java Studio,2018,Q3,15.0
Java Studio,2018,Q4,15.0
Java Studio,2019,Q1,5.0
Java Studio,2019,Q2,5.0
Java Studio,2019,Q3,0.0
Java Studio,2019,Q4,0.0
Java Studio,2020,Q1,18.75
Java Studio,2020,Q2,23.0
Java Studio,2020,Q3,19.0
Java Studio,2020,Q4,19.0
Java Studio,2021,Q1,5.833333333333333
Java Studio,2021,Q2,10.0
Java Studio,2021,Q3,3.0
Java Studio,2021,Q4,3.0
Java Studio,2022,Q1,8.0
Learning and Development,2021,Q2,5.0
Learning and Development,2021,Q3,0.0
Learning and Development,2021,Q4,0.0
Lightbend CoE,2014,Q1,15.0
Lightbend CoE,2014,Q2,55.0
Lightbend CoE,2014,Q3,20.0
Lightbend CoE,2014,Q4,20.0
Lightbend CoE,2015,Q1,5.0
Lightbend CoE,2015,Q2,10.0
Lightbend CoE,2015,Q3,5.0
Lightbend CoE,2015,Q4,5.0
